Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
~Intial version based on Kona and e-Niro EV
~Source: GitHub 18 Aug 2019
~https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Hyundai%20Kona%20EV%20%26%20Kia%20Niro%20EV
~
~Zuinige Rijder
~20210907 V1 Adapted for IONIQ 5 72 kWh AWD
~Added Cell Voltage 092 till 184
~Added 000_Battery Module 05 Temperature and 000_Battery Module 06 Temperature
~Changed some calculations to use 72 kWh instead of 64 kWh and use the Torque for the IONIQ 5 AWD 72 kWh
~Added experimental Odometer
~Added experimental Tires information
~
~20210908 V2 Fixes and new features
~Fixed tire pressures
~Fixed Odometer
~Removed Battery Module 06 Temperature
~Shortened Short names of several formula's
~Fixed CALC Average Battery Module Temperature
~Fixed CALC Average Cell Voltage
~Added estimated charging time from current SOC to 80% for 2.3/3.7/7.4/11/50/100/150/175/350kWh chargers using evdatabase 10% to 80% estimations.
~
~20210910 V3 All known battery temperatures
~Added 16 battery pack temperatures
~Removed inlet temperature
~Removed heater 2 temperature
~Shortened names even more, do not put e.g. T in shortname when the symbol is C, Same for V and A.
~Fixed Indoor and Outdoor to properly show Celcius
000_Inverter Capacitor Voltage,Capacitor,0x220101,((az<8)+ba),0,840,V,7E4
000_Isolation Resistance,Resistance,0x220101,((bf<8)+bg),0,1000,kOhm,7E4
000_Maximum Cell Voltage,Max Cell,0x220101,x/50,2.7,4.3,V,7E4
000_Maximum Cell Voltage No,Max Cell#,0x220101,y,0,192,,7E4
000_Maximum Deterioration Cell No,Max Det Cell#,0x220105,ab,0,192,,7E4
000_Minimum Cell Voltage,Min Cell,0x220101,z/50,2.7,4.3,V,7E4
000_Minimum Cell Voltage No,Min Cell#,0x220101,aa,0,192,,7E4
000_Minimum Deterioration,Min Det,0x220105,((ac<8)+ad)/10,0,100,%,7E4
000_Minimum Deterioration Cell No,Min Det Cell#,0x220105,ae,0,192,,7E4
000_Normal Charge Port,AC Plug,0x220101,{j:5},0,1,,7E4
000_Operating Time,OpTime,0x220101,((au<24)+(av<16)+(aw<8)+ax)/3600,0,1000000,hours,7E4
000_Rapid Charge Port,CCS Plug,0x220101,{j:6},0,1,,7E4
000_State of Charge BMS,SOC BMS,0x220101,e/2,0,100,%,7E4
000_State of Charge Display,SOC,0x220105,af/2,0,100,%,7E4
000_State of Health,SOH,0x220105,((z<8)+aa)/10,0,100,%,7E4
000_Requested Charge Current,Req Current,0x220101,((h<8)+i)/10,0,200,A,7E4
~Modifications by Jason Rapp for ABRP data contribution,List Credit,,,,,,
!_ABRP_Battery Current,Batt Current,,val{000_Battery Current},-200,200,A,
!_ABRP_Battery DC Voltage,Batt Volts,,val{000_Battery DC Voltage},400,840,V,
!_ABRP_Battery Power,Energy,,val{000_Battery Current}*val{000_Battery DC Voltage}/1000,-270,270,kW,
!_ABRP_Fast_Charging,Charging,,val{000_Rapid Charge Port},0,1,,
!_ABRP_State of Charge BMS,SOC BMS,,val{000_State of Charge BMS},0,100,%,
!_ABRP_State of Charge Display,SOC,,val{000_State of Charge Display},0,100,%,
!_ABRP_Max Deterioration,SOH,,val{000_Maximum Deterioration},0,100,%,
001_Tire Pressure Front Left,FL,0x22C00B,e/5,0.00,120.00,psi,7A0
001_Tire Pressure Front Right,FR,0x22C00B,j/5,0.00,120.00,psi,7A0
001_Tire Pressure Back Left,BL,0x22C00B,o/5,0.00,120.00,psi,7A0
001_Tire Pressure Back Right,BR,0x22C00B,t/5,0.00,120.00,psi,7A0
001_Tire Temperature Front Left,FL,0x22C00B,f-50,-40,65,C,7A0
001_Tire Temperature Front Right,FR,0x22C00B,k-50,-40,65,C,7A0
001_Tire Temperature Back Left,BL,0x22C00B,p-50,-40,65,C,7A0
001_Tire Temperature Back Right,BR,0x22C00B,u-50,-40,65,C,7A0
001_Odometer,Odo,0x22B002,Int24(g:h:i),0,16777215,km,7C6
002_Odometer,Odo,0x22B002,Int24(j:k:l),0,16777215,mi,7C6
001_Real Vehicle Speed,Speed,220100,ad,0,200,kmh,7B3
001_Steering Angle,Steer Angle,0x22F010,(SIGNED(N)*256+M)/10,-720,720,deg,730


